ชื่อย่อ,Company Name,ชื่อบริษัท,กลุ่มอุตสาหกรรม,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
AAV,ASIA AVIATION PUBLIC COMPANY LIMITED,บริษัท เอเชีย เอวิเอชั่น จำกัด (มหาชน),Services,,,Yes,Yes,Yes,Yes,,,,
ACE,ABSOLUTE CLEAN ENERGY PUBLIC COMPANY LIMITED,บริษัท แอ๊บโซลูท คลีน เอ็นเนอร์จี้ จำกัด (มหาชน),Resources,AAA,AA,Yes,,,,,,,
ADB,APPLIED DB PUBLIC COMPANY LIMITED,บริษัท แอ็พพลาย ดีบี จำกัด (มหาชน),Industrials,AA,A,Yes,Yes,,,,,,
ADVANC,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),Technology,AA,AAA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AGE,ASIA GREEN ENERGY PUBLIC COMPANY LIMITED,บริษัท เอเชีย กรีน เอนเนอจี จำกัด (มหาชน),Resources,,BBB,Yes,Yes,Yes,Yes,Yes,,,
AH,AAPICO HITECH PUBLIC COMPANY LIMITED,บริษัท อาปิโก ไฮเทค จำกัด (มหาชน),Industrials,A,A,Yes,Yes,Yes,,Yes,,,
AJ,A.J. PLAST PUBLIC COMPANY LIMITED,บริษัท เอ.เจ.พลาสท์ จำกัด (มหาชน),Industrials,AAA,AAA,Yes,,,,,,,
AKP,AKKHIE PRAKARN PUBLIC COMPANY LIMITED,บริษัท อัคคีปราการ จำกัด (มหาชน),Services,AA,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AKR,EKARAT ENGINEERING PUBLIC COMPANY LIMITED,บริษัท เอกรัฐวิศวกรรม จำกัด (มหาชน),Industrials,BBB,,,,,,,,,
ALLA,ALLA PUBLIC COMPANY LIMITED,บริษัท ออลล่า จำกัด (มหาชน),Industrials,A,,,,,,,,,
AMATA,AMATA CORPORATION PUBLIC COMPANY LIMITED,บริษัท อมตะ คอร์ปอเรชัน จำกัด (มหาชน),Property & Construction,AAA,AAA,Yes,Yes,Yes,Yes,Yes,,,
AMATAV,AMATA VN PUBLIC COMPANY LIMITED,บริษัท อมตะ วีเอ็น จำกัด (มหาชน),Property & Construction,AA,AA,Yes,Yes,Yes,,,,,
AOT,AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน),Services,A,A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AP,AP (THAILAND) PUBLIC COMPANY LIMITED,บริษัท เอพี (ไทยแลนด์) จำกัด (มหาชน),Property & Construction,AA,AA,Yes,,,,,,,
ARROW,ARROW SYNDICATE PUBLIC COMPANY LIMITED,บริษัท แอร์โรว์ ซินดิเคท จำกัด (มหาชน),Property & Construction,,BBB,Yes,Yes,,,,,,
ASIAN,ASIAN SEA CORPORATION PUBLIC COMPANY LIMITED,บริษัท เอเชี่ยนซี คอร์ปอเรชั่น จำกัด (มหาชน),Agro & Food Industry,,,Yes,Yes,,,,,,
ASK,ASIA SERMKIJ LEASING PUBLIC COMPANY LIMITED,บริษัท เอเซียเสริมกิจลีสซิ่ง จำกัด (มหาชน),Financials,A,,,,,,,,,
ASW,ASSETWISE PUBLIC COMPANY LIMITED,บริษัท แอสเซทไวส์ จำกัด (มหาชน),Property & Construction,AA,A,Yes,,,,,,,
AWC,ASSET WORLD CORP PUBLIC COMPANY LIMITED,บริษัท แอสเสท เวิรด์ คอร์ป จำกัด (มหาชน),Property & Construction,AA,A,Yes,Yes,,,,,,
BA,BANGKOK AIRWAYS PUBLIC COMPANY LIMITED,บริษัท การบินกรุงเทพ จำกัด (มหาชน),Services,BBB,BBB,,,,,,,,
BAFS,BANGKOK AVIATION FUEL SERVICES PUBLIC COMPANY LIMITED,บริษัท บริการเชื้อเพลิงการบินกรุงเทพ จำกัด (มหาชน),Resources,,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BAM,BANGKOK COMMERCIAL ASSET MANAGEMENT PUBLIC COMPANY LIMITED,บริษัทบริหารสินทรัพย์ กรุงเทพพาณิชย์ จำกัด (มหาชน),Financials,AA,AA,Yes,,,,,,,
BANPU,BANPU PUBLIC COMPANY LIMITED,บริษัท บ้านปู จำกัด (มหาชน),Resources,AAA,AAA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BAY,BANK OF AYUDHYA PUBLIC COMPANY LIMITED,ธนาคารกรุงศรีอยุธยา จำกัด (มหาชน),Financials,AAA,AAA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
BBGI,BBGI PUBLIC COMPANY LIMITED,บริษัท บีบีจีไอ จำกัด (มหาชน),Resources,AA,AA,,,,,,,,
BBL,BANGKOK BANK PUBLIC COMPANY LIMITED,ธนาคารกรุงเทพ จำกัด (มหาชน),Financials,AAA,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
BCH,BANGKOK CHAIN HOSPITAL PUBLIC COMPANY LIMITED,บริษัท บางกอก เชน ฮอสปิทอล จำกัด (มหาชน),Services,AA,AA,,,,,,,,
BCP,BANGCHAK CORPORATION PUBLIC COMPANY LIMITED,บริษัท บางจาก คอร์ปอเรชั่น จำกัด (มหาชน),Resources,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BCPG,BCPG PUBLIC COMPANY LIMITED,บริษัท บีซีพีจี จำกัด (มหาชน),Resources,AAA,AA,Yes,Yes,,,,,,
BDMS,BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY LIMITED,บริษัท กรุงเทพดุสิตเวชการ จำกัด (มหาชน),Services,A,AA,Yes,Yes,Yes,,,,,
BEM,BANGKOK EXPRESSWAY AND METRO PUBLIC COMPANY LIMITED,บริษัท ทางด่วนและรถไฟฟ้ากรุงเทพ จำกัด (มหาชน),Services,AAA,AA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
BGC,BG CONTAINER GLASS PUBLIC COMPANY LIMITED,บริษัท บีจี คอนเทนเนอร์ กล๊าส จำกัด (มหาชน),Industrials,AAA,AA,Yes,Yes,,,,,,
BGRIM,B.GRIMM POWER PUBLIC COMPANY LIMITED,บริษัท บี.กริม เพาเวอร์ จำกัด (มหาชน),Resources,AAA,AAA,Yes,Yes,Yes,Yes,Yes,,,
